id;type;url;ip;date;
"71";"Stealer";"http://1xbetspace.pw.md-98.webhostbox.net/wp-content/themes/au/";"207.174.212.181";"29-08-2017";
"72";"Lokibot";"http://surefinegroups.com/roko/fre.php";"101.99.75.152";"29-08-2017";
"73";"Phishing";"http://www.one-drive.tk/online/secured/";"198.38.90.108";"29-08-2017";
"74";"Phishing";"http://www.one-drive.tk/e/";"198.38.90.108";"29-08-2017";
"75";"Pony";"http://ativat.com/www.google-analytics.com/googlanalytics/admin.php";"178.159.36.185";"30-08-2017";
"76";"Phishing";"http://scuritylgin.com/paypal.com.webapps.cgibin-mpp/signin";"163.44.112.203";"31-08-2017";
"77";"Phishing";"http://www.ppmails-intl.com/informations-receiptment.signin/signin";"50.116.100.10";"31-08-2017";
"78";"Phishing";"http://paypl-service.net/customer_center/customer-IDPP00C554/myaccount/signin";"89.163.237.217";"31-08-2017";
"79";"Phishing";"http://paysecurebills-summarryaccount.com/webapps";"paysecurebills-summarryaccount.com";"31-08-2017";
"80";"Phishing";"http://pp-center-help.net/pp/support/konflikt/f4ff4c6bcbba53d/login.php?de=verify/login/";"104.28.29.89";"31-08-2017";
"81";"Phishing";"http://ppmails-intl.com/informations-receiptment.signin/signin";"50.116.100.10";"31-08-2017";
"82";"Phishing";"http://review-verlfication.com/signin";"165.227.27.58";"31-08-2017";
"83";"Phishing";"http://service-cgi-intl-my-account.com/signin";"216.172.165.42";"31-08-2017";
"84";"Phishing";"http://service-confirm-account.com/Confirming/signin";"192.185.159.44";"31-08-2017";
"85";"Phishing";"http://summary-detail-my-pcypcl-resolutionscenter.com/webapps";"192.52.242.190";"31-08-2017";
"86";"Phishing";"http://fraudulent-transaction-akunbule.com/signin";"fraudulent-transaction-akunbule.com";"31-08-2017";
"87";"Alina";"http://fondowakan.top";"fondowakan.top";"31-08-2017";
"88";"Alina";"http://doplesonga.top";"47.89.248.226";"31-08-2017";
"89";"Alina";"http://mitelinaris.top";"47.89.248.226";"31-08-2017";
"90";"Alina";"http://sofpolokatos.top";"47.89.248.226";"31-08-2017";
"91";"Alina";"http://rombadalaris.top";"rombadalaris.top";"31-08-2017";
"92";"BankBot";"http://paperty.epizy.com/";"185.27.134.146";"31-08-2017";
"93";"BankBot";"http://j731449.myjino.ru/";"81.177.140.222";"31-08-2017";
"94";"BankBot";"http://j728870.myjino.ru/";"81.177.141.142";"31-08-2017";
"95";"Phishing";"http://fs.saborearpizzaparty.com/hws.edu/&amp;owa/auth/logon-aspx";"200.80.43.111";"31-08-2017";
"96";"Katrina";"http://blog.gothicangelclothing.co.uk/wp-content/config2/kx/login.php";"94.229.167.75";"01-09-2017";
"97";"Pony";"http://62.210.11.50/Sample/admin.php";"62.210.11.50";"04-09-2017";
"98";"Pony";"http://engrseltevs.com/king/panel/admin.php";"101.99.75.152";"06-09-2017";
"99";"Pony";"http://engrseltevs.com/buky/admin.php";"101.99.75.152";"06-09-2017";
"100";"Pony";"http://engrseltevs.com/benneth/admin.php";"101.99.75.152";"06-09-2017";
"101";"Pony";"http://engrseltevs.com/cross/admin.php";"101.99.75.152";"06-09-2017";
"102";"Pony";"http://engrseltevs.com/ebu/admin.php";"101.99.75.152";"06-09-2017";
"103";"Pony";"http://engrseltevs.com/ebula/admin.php";"101.99.75.152";"06-09-2017";
"104";"Pony";"http://engrseltevs.com/ebula2/admin.php";"101.99.75.152";"06-09-2017";
"105";"Pony";"http://engrseltevs.com/engr/admin.php";"101.99.75.152";"06-09-2017";
"106";"Pony";"http://engrseltevs.com/favou/admin.php";"101.99.75.152";"06-09-2017";
"107";"Pony";"http://engrseltevs.com/flames/panel/admin.php";"101.99.75.152";"06-09-2017";
"108";"Pony";"http://engrseltevs.com/harsh/admin.php";"101.99.75.152";"06-09-2017";
"109";"Pony";"http://engrseltevs.com/ken/admin.php";"101.99.75.152";"06-09-2017";
"110";"Pony";"http://engrseltevs.com/klenz/admin.php";"101.99.75.152";"06-09-2017";
"111";"Pony";"http://engrseltevs.com/month/admin.php";"101.99.75.152";"06-09-2017";
"112";"Pony";"http://engrseltevs.com/nna/admin.php";"101.99.75.152";"06-09-2017";
"113";"Pony";"http://engrseltevs.com/okey/admin.php";"101.99.75.152";"06-09-2017";
"114";"Pony";"http://engrseltevs.com/onye/panel/admin.php";"101.99.75.152";"06-09-2017";
"115";"Pony";"http://engrseltevs.com/oracle/admin.php";"101.99.75.152";"06-09-2017";
"116";"Pony";"http://engrseltevs.com/steve/panel/admin.php";"101.99.75.152";"06-09-2017";
"117";"Pony";"http://engrseltevs.com/richy/admin.php";"101.99.75.152";"06-09-2017";
"118";"Pony";"http://engrseltevs.com/ugo/admin.php";"101.99.75.152";"06-09-2017";
"119";"Phishing";"http://www.almair.net/update/";"192.185.103.208";"06-09-2017";
"120";"Keybase";"http://mitsumidistrlbution.com/blockfund/";"101.99.75.152";"06-09-2017";
"121";"Keybase";"http://mitsumidistrlbution.com/kelechi1/";"101.99.75.152";"06-09-2017";
"122";"AgentTesla";"http://pechodin.com/panel/login.php";"178.159.36.185";"08-09-2017";
"123";"Pony";"http://banizeusz.com/wish/Panel/admin.php";"178.159.36.185";"08-09-2017";
"124";"Phishing";"http://banizeusz.com/route/";"178.159.36.185";"08-09-2017";
"125";"AgentTesla";"http://banizeusz.com/nat/Panel/login.php";"178.159.36.185";"08-09-2017";
"126";"Pony";"http://banizeusz.com/cp/panel/admin.php";"178.159.36.185";"08-09-2017";
"127";"Unknown";"http://www.primebot.net/botting/adm.php";"198.54.117.217";"08-09-2017";
"128";"Unknown";"http://cabinme24hrs.com/contact/adm.php";"173.244.192.64";"08-09-2017";
"129";"Unknown";"http://prepumpstocks.net/stocks/adm.php";"185.11.145.5";"08-09-2017";
"130";"Unknown";"http://produkktc.com/products/adm.php";"86.104.15.248";"08-09-2017";
"131";"Zeus";"http://62.210.11.50/zero/cp.php?m=login";"62.210.11.50";"09-09-2017";
"132";"Pony";"http://62.210.11.50/v1/admin.php";"62.210.11.50";"09-09-2017";
"133";"Pony";"http://62.210.11.50/v2/admin.php";"62.210.11.50";"09-09-2017";
"134";"Pony";"http://mitsumidistrlbution.com/mrvccww/admin.php";"101.99.75.152";"09-09-2017";
"135";"Pony";"http://mitsumidistrlbution.com/twinstar/admin.php";"101.99.75.152";"09-09-2017";
"136";"LokiBot";"http://mitsumidistrlbution.com/okwus1/five/fre.php";"101.99.75.152";"09-09-2017";
"137";"Pony";"http://mitsumidistrlbution.com/okwugwo/admin.php";"101.99.75.152";"09-09-2017";
"138";"Pony";"http://mitsumidistrlbution.com/nonso/admin.php";"101.99.75.152";"09-09-2017";
"139";"LokiBot";"http://mitsumidistrlbution.com/morgan1/five/fre.php";"101.99.75.152";"09-09-2017";
"140";"Pony";"http://mitsumidistrlbution.com/millionusd/admin.php";"101.99.75.152";"09-09-2017";
"141";"Pony";"http://mitsumidistrlbution.com/maroke1/admin.php";"101.99.75.152";"09-09-2017";
"142";"LokiBot";"http://mitsumidistrlbution.com/jay1/five/fre.php";"101.99.75.152";"09-09-2017";
"143";"Pony";"http://mitsumidistrlbution.com/everpimp/admin.php";"101.99.75.152";"09-09-2017";
"144";"Pony";"http://mitsumidistrlbution.com/chinadu/admin.php";"101.99.75.152";"09-09-2017";
"145";"Pony";"http://mitsumidistrlbution.com/apislyl1/admin.php";"101.99.75.152";"09-09-2017";
"146";"Phishing";"http://mitsumidistrlbution.com/administrator/domain/";"101.99.75.152";"09-09-2017";
"147";"Pony";"http://mitsumidistrlbution.com/2baba/admin.php";"101.99.75.152";"09-09-2017";
"148";"Pony";"http://mitsumidistrlbution.com/stephen/admin.php";"101.99.75.152";"09-09-2017";
"149";"Pony";"http://142.44.188.19/blizi/admin.php";"142.44.188.19";"09-09-2017";
